"","scientificname","tiplabel","gen","fam","ord","clade","higher","MSW3_sciName_matched","genes","extinct.","tipDR_10k_harmMeans","MarineOrNot","taxa","trait","value","Barren.Rocky","Cropland","Forest","Grassland","Mosaic.Cropland","Other","Savanna","Shrubland","Urban","Water.Body","Wetland","Min_Elev","Max_Elev","source","Andes_Overlap","Forest_Biome","Grass_Biome","Origin_Class","binOrigin_all","binOrigin_rodents","binOrigin_nonRod","A_H","NA_TeF","NA_TrF","SA_TeF","SA_TrF","NA_TeG","NA_TrG","SA_TeG","SA_TrG","z_NONE","endemic_protoAndesForest","endemic_lowlandForest","endemic_grassLowHigh","widespread_newBiomes"
"559","Monodelphis_ronaldi","Monodelphis_ronaldi_DIDELPHIDAE_DIDELPHIMORPHIA","Monodelphis","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia",NA,0,0,0.139247797,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","0","0","0",0,0,0,1
"560","Hsunycteris_pattoni","Hsunycteris_pattoni_PHYLLOSTOMIDAE_CHIROPTERA","Hsunycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,1,0,0.132892914,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South_America",0,0,0,"0","0","0","0","1","0","0","1","1","0",0,0,0,1
"561","Chrysocyon_brachyurus","Chrysocyon_brachyurus_CANIDAE_CARNIVORA","Chrysocyon","CANIDAE","CARNIVORA","Caniformes","Laurasiatheria","Chrysocyon_brachyurus",4,0,0.220313351,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Forest,Savanna,Shrubland,Grassland,Wetland",0,1,1,1,1,0,1,1,0,0,1,1000,2000,"IUCN",0.006863705,"Forest","Grass_Savanna","North_America",1,0,1,"0","0","0","0","1","0","0","1","1","1",0,0,0,1
"562","Ozotoceros_bezoarticus","Ozotoceros_bezoarticus_CERVIDAE_CETARTIODACTYLA","Ozotoceros","CERVIDAE","CETARTIODACTYLA","Ruminantia","Laurasiatheria","Ozotoceros_bezoarticus",4,0,0.22675504,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Savanna,Grassland,Wetland",0,1,0,1,1,0,1,0,0,0,1,NA,NA,NA,0.001770765,"","Grass_Savanna","North_America",1,0,1,"0","0","0","0","0","0","0","1","1","0",0,0,1,0
"563","Calomys_callosus","Calomys_callosus_CRICETIDAE_RODENTIA","Calomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Calomys_callosus",5,0,0.4080945,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Shrubland,Grassland",0,1,0,1,1,0,0,1,0,0,0,NA,2050,"IUCN",0.023437793,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"564","Alouatta_caraya","Alouatta_caraya_ATELIDAE_PRIMATES","Alouatta","ATELIDAE","PRIMATES","Platyrrhini","Euarchontoglires","Alouatta_caraya",15,0,0.295592451,0,"mammals","habitat_mol","Forest,Savanna",0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,0.003311718,"Forest","Grass_Savanna","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","0",0,0,0,1
"565","Kunsia_tomentosus","Kunsia_tomentosus_CRICETIDAE_RODENTIA","Kunsia","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Kunsia_tomentosus",3,0,0.157208404,0,"mammals","habitat_mol","Grassland",0,0,0,1,0,0,0,0,0,0,0,60,750,"from 2 sources",NA,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","0","1","0",0,0,1,0
"566","Mazama_gouazoubira","Mazama_gouazoubira_CERVIDAE_CETARTIODACTYLA","Mazama","CERVIDAE","CETARTIODACTYLA","Ruminantia","Laurasiatheria","Mazama_gouazoubira",4,0,0.282299031,0,"mammals","habitat_mol","Mosaic Cropland,Other,Forest,Savanna,Shrubland,Water Body",0,0,1,0,1,1,1,1,0,1,0,NA,NA,NA,0.025439629,"Forest","Grass_Savanna","North_America",1,0,1,"1","0","1","0","1","0","0","1","1","1",0,0,0,1
"567","Pseudoryzomys_simplex","Pseudoryzomys_simplex_CRICETIDAE_RODENTIA","Pseudoryzomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Pseudoryzomys_simplex",5,0,0.137112687,0,"mammals","habitat_mol","Savanna,Shrubland,Grassland",0,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"568","Monodelphis_domestica","Monodelphis_domestica_DIDELPHIDAE_DIDELPHIMORPHIA","Monodelphis","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia","Monodelphis_domestica",31,0,0.141629308,0,"mammals","habitat_mol","Mosaic Cropland,Forest,Shrubland,Grassland",0,0,1,1,1,0,0,1,0,0,0,NA,NA,NA,0.015301195,"Forest","Grass_Savanna","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"569","Oecomys_sydandersoni","Oecomys_sydandersoni_CRICETIDAE_RODENTIA","Oecomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,0,0,0.244331662,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,210,"Mammals of South America 2, Volume 139",NA,NA,NA,"North_America",1,1,0,"0","0","0","0","1","0","0","0","1","0",0,0,0,1
"570","Akodon_subfuscus","Akodon_subfuscus_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_subfuscus",1,0,0.416694292,0,"mammals","habitat_mol","Mosaic Cropland,Forest,Grassland",0,0,1,1,1,0,0,0,0,0,0,1900,4500,"from 4 sources",1,"Forest","Grass_Savanna","North_America",1,1,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"571","Carollia_manu","Carollia_manu_PHYLLOSTOMIDAE_CHIROPTERA","Carollia","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,4,0,0.202078989,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,1300,2500,"from 2 sources",0.993240385,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","0","0","1",0,0,0,1
"572","Mormopterus_phrudus","Mormopterus_phrudus_MOLOSSIDAE_CHIROPTERA","Mormopterus","MOLOSSIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Mormopterus_phrudus",0,0,0.180042326,0,"mammals","habitat_mol","Forest,Other",0,0,1,0,0,1,0,0,0,0,0,2000,3000,"from 2 sources",1,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","1","0","0",0,0,0,1
"573","Thomasomys_oreas","Thomasomys_oreas_CRICETIDAE_RODENTIA","Thomasomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Thomasomys_oreas",1,0,0.232162031,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,2000,3650,"from 2 sources",1,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","0","0","1",0,0,0,1
"574","Akodon_kofordi","Akodon_kofordi_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_kofordi",5,0,0.452971289,0,"mammals","habitat_mol","Forest,Shrubland,Grassland,Barren/Rocky",1,0,1,1,0,0,0,1,0,0,0,1800,3700,"from 3 sources",1,"Forest","Grass_Savanna","North_America",1,1,0,"1","0","0","0","1","0","0","1","0","1",0,0,0,1
"575","Isothrix_barbarabrownae","Isothrix_barbarabrownae_ECHIMYIDAE_RODENTIA","Isothrix","ECHIMYIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires",NA,4,0,0.139811175,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"South_America",0,0,0,"1","0","0","0","1","0","0","0","0","0",0,0,0,1
"576","Nephelomys_keaysi","Nephelomys_keaysi_CRICETIDAE_RODENTIA","Nephelomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,3,0,0.166883552,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,1000,2600,"from 2 sources",0.989820402,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","0","0","1",0,0,0,1
"577","Rhagomys_longilingua","Rhagomys_longilingua_CRICETIDAE_RODENTIA","Rhagomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Rhagomys_longilingua",1,0,0.135474842,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Forest",0,1,1,0,1,0,0,0,0,0,0,450,2100,"from 2 sources",1,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","1","0","0",0,0,0,1
"578","Akodon_fumeus","Akodon_fumeus_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_fumeus",2,0,0.453112388,0,"mammals","habitat_mol","Mosaic Cropland,Forest,Shrubland,Grassland",0,0,1,1,1,0,0,1,0,0,0,700,3800,"from 3 sources",0.986046859,"Forest","Grass_Savanna","North_America",1,1,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"579","Rhipidomys_ochrogaster","Rhipidomys_ochrogaster_CRICETIDAE_RODENTIA","Rhipidomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Rhipidomys_ochrogaster",0,0,0.251246881,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,1200,1940,"from 2 sources",1,"Forest","","North_America",1,1,0,"0","0","0","0","1","0","0","0","0","0",0,1,0,0
"580","Lenoxus_apicalis","Lenoxus_apicalis_CRICETIDAE_RODENTIA","Lenoxus","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Lenoxus_apicalis",5,0,0.122605914,0,"mammals","habitat_mol","Mosaic Cropland,Forest",0,0,1,0,1,0,0,0,0,0,0,1100,2500,"from 2 sources",1,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"581","Callicebus_aureipalatii","Callicebus_aureipalatii_PITHECIIDAE_PRIMATES","Callicebus","PITHECIIDAE","PRIMATES","Platyrrhini","Euarchontoglires",NA,0,0,0.347098837,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,500,"from 2 sources",0.282064329,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","0",0,0,0,1
"582","Monodelphis_kunsi","Monodelphis_kunsi_DIDELPHIDAE_DIDELPHIMORPHIA","Monodelphis","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia","Monodelphis_kunsi",4,0,0.096440712,0,"mammals","habitat_mol","Mosaic Cropland,Forest,Savanna",0,0,1,0,1,0,1,0,0,0,0,60,640,"from 4 sources",0.163775404,"Forest","Grass_Savanna","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","0",0,0,0,1
"583","Didelphis_albiventris","Didelphis_albiventris_DIDELPHIDAE_DIDELPHIMORPHIA","Didelphis","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia","Didelphis_albiventris",8,0,0.216415219,0,"mammals","habitat_mol","Other,Mosaic Cropland,Urban,Forest,Savanna,Shrubland",0,0,1,0,1,1,1,1,1,0,0,NA,NA,NA,0.015326547,"Forest","Grass_Savanna","South_America",0,0,0,"1","0","0","1","1","0","0","1","1","1",0,0,0,1
"584","Dasypus_septemcinctus","Dasypus_septemcinctus_DASYPODIDAE_CINGULATA","Dasypus","DASYPODIDAE","CINGULATA","Xenarthra","Xenart.","Dasypus_septemcinctus",0,0,0.064319291,0,"mammals","habitat_mol","Forest,Savanna,Grassland",0,0,1,1,0,0,1,0,0,0,0,NA,NA,NA,0.003427707,"Forest","Grass_Savanna","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"585","Callicebus_donacophilus","Callicebus_donacophilus_PITHECIIDAE_PRIMATES","Callicebus","PITHECIIDAE","PRIMATES","Platyrrhini","Euarchontoglires","Callicebus_donacophilus",15,0,0.375426972,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","0",0,0,0,1
"586","Hylaeamys_acritus","Hylaeamys_acritus_CRICETIDAE_RODENTIA","Hylaeamys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,1,0,0.207162813,0,"mammals","habitat_mol","Forest,Savanna",0,0,1,0,0,0,1,0,0,0,0,170,700,"Mammals of South America 2, Volume 224",NA,"Forest","Grass_Savanna","North_America",1,1,0,"0","0","0","0","1","0","0","0","1","0",0,0,0,1
"587","Oecomys_mamorae","Oecomys_mamorae_CRICETIDAE_RODENTIA","Oecomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Oecomys_mamorae",2,0,0.213350226,0,"mammals","habitat_mol","Other,Mosaic Cropland,Forest,Savanna,Shrubland",0,0,1,0,1,1,1,1,0,0,0,0,2100,"from 2 sources",0.084674328,"Forest","Grass_Savanna","North_America",1,1,0,"1","0","0","0","1","0","0","1","1","0",0,0,0,1
"588","Abrothrix_andinus","Abrothrix_andinus_CRICETIDAE_RODENTIA","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_andinus",6,0,0.240689975,0,"mammals","habitat_mol","Shrubland,Grassland",0,0,0,1,0,0,0,1,0,0,0,3500,4600,"from 2 sources",0.999999853,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"589","Akodon_boliviensis","Akodon_boliviensis_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_boliviensis",5,0,0.497467418,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Shrubland,Grassland",0,1,0,1,1,0,0,1,0,0,0,2400,5000,"from 5 sources",1,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"590","Akodon_mimus","Akodon_mimus_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_mimus",6,0,0.1652736,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Forest",0,1,1,0,1,0,0,0,0,0,0,2000,3700,"from 2 sources",1,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","1","0","1",0,0,0,1
"591","Akodon_lutescens","Akodon_lutescens_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_lutescens",4,0,0.417186478,0,"mammals","habitat_mol","Mosaic Cropland,Forest,Shrubland,Grassland",0,0,1,1,1,0,0,1,0,0,0,1130,4560,"from 3 sources",0.938551384,"Forest","Grass_Savanna","North_America",1,1,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"592","Auliscomys_sublimis","Auliscomys_sublimis_CRICETIDAE_RODENTIA","Auliscomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Auliscomys_sublimis",6,0,0.157458382,0,"mammals","habitat_mol","Shrubland,Grassland,Barren/Rocky",1,0,0,1,0,0,0,1,0,0,0,3800,5500,"from 3 sources",1,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"593","Chinchillula_sahamae","Chinchillula_sahamae_CRICETIDAE_RODENTIA","Chinchillula","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Chinchillula_sahamae",0,0,0.146163418,0,"mammals","habitat_mol","Shrubland,Barren/Rocky",1,0,0,0,0,0,0,1,0,0,0,3500,4800,NA,1,"","","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"594","Dactylomys_peruanus","Dactylomys_peruanus_ECHIMYIDAE_RODENTIA","Dactylomys","ECHIMYIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Dactylomys_peruanus",1,0,0.156215121,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,1000,3300,"from 3 sources",1,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","0","0","0",0,0,0,1
"595","Punomys_kofordi","Punomys_kofordi_CRICETIDAE_RODENTIA","Punomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Punomys_kofordi",5,0,0.132993163,0,"mammals","habitat_mol","Mosaic Cropland,Shrubland,Grassland",0,0,0,1,1,0,0,1,0,0,0,4500,4800,"from 2 sources",1,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","1","0","0",0,0,1,0
"596","Galictis_cuja","Galictis_cuja_MUSTELIDAE_CARNIVORA","Galictis","MUSTELIDAE","CARNIVORA","Caniformes","Laurasiatheria","Galictis_cuja",12,0,0.172791099,0,"mammals","habitat_mol","Forest,Cropland,Other,Savanna,Grassland,Water Body",0,1,1,1,0,1,1,0,0,1,0,0,4200,"from 3 sources",0.226674898,"Forest","Grass_Savanna","North_America",1,0,1,"1","0","0","1","1","0","0","1","1","1",0,0,0,1
"597","Oxymycterus_hiska","Oxymycterus_hiska_CRICETIDAE_RODENTIA","Oxymycterus","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Oxymycterus_hiska",4,0,0.358704372,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Forest",0,1,1,0,1,0,0,0,0,0,0,600,3500,"from 3 sources",1,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"598","Calomys_boliviae","Calomys_boliviae_CRICETIDAE_RODENTIA","Calomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Calomys_boliviae",0,0,0.217833106,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,600,2700,"from 2 sources",0.965450277,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","0","0","1",0,0,0,1
"599","Rhipidomys_austrinus","Rhipidomys_austrinus_CRICETIDAE_RODENTIA","Rhipidomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Rhipidomys_austrinus",0,0,0.245514349,0,"mammals","habitat_mol","Cropland,Other,Mosaic Cropland,Forest",0,1,1,0,1,1,0,0,0,0,0,350,467,"from 3 sources",0.825092834,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"600","Callicebus_modestus","Callicebus_modestus_PITHECIIDAE_PRIMATES","Callicebus","PITHECIIDAE","PRIMATES","Platyrrhini","Euarchontoglires","Callicebus_modestus",0,0,0.344058024,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048373908,"Forest","Grass_Savanna","South_America",0,0,0,"1","0","0","0","1","0","0","0","1","0",0,0,0,1
"601","Callicebus_olallae","Callicebus_olallae_PITHECIIDAE_PRIMATES","Callicebus","PITHECIIDAE","PRIMATES","Platyrrhini","Euarchontoglires","Callicebus_olallae",0,0,0.349738072,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,"IUCN",NA,"Forest","Grass_Savanna","South_America",0,0,0,"1","0","0","0","1","0","0","0","1","0",0,0,0,1
"602","Euphractus_sexcinctus","Euphractus_sexcinctus_DASYPODIDAE_CINGULATA","Euphractus","DASYPODIDAE","CINGULATA","Xenarthra","Xenart.","Euphractus_sexcinctus",17,0,0.078878844,0,"mammals","habitat_mol","Forest,Cropland,Mosaic Cropland,Other,Savanna,Shrubland,Grassland",0,1,1,1,1,1,1,1,0,0,0,0,1600,"IUCN",0.016248336,"Forest","Grass_Savanna","South_America",0,0,0,"0","0","0","0","1","0","0","1","1","1",0,0,0,1
"603","Myotis_midastactus","Myotis_midastactus_VESPERTILIONIDAE_CHIROPTERA","Myotis","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,0,0,0.242996202,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North_America",1,0,1,"0","0","0","0","1","0","0","0","1","0",0,0,0,1
"604","Calomys_musculinus","Calomys_musculinus_CRICETIDAE_RODENTIA","Calomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Calomys_musculinus",3,0,0.177388803,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Shrubland",0,1,0,0,1,0,0,1,0,0,0,0,4000,"from 2 sources",0.216513341,"","","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"605","Galea_musteloides","Galea_musteloides_CAVIIDAE_RODENTIA","Galea","CAVIIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Galea_musteloides",4,0,0.113156546,0,"mammals","habitat_mol","Shrubland,Grassland",0,0,0,1,0,0,0,1,0,0,0,20,5000,"from 3 sources",0.347075841,"","Grass_Savanna","South_America",0,0,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"606","Philander_olrogi","Philander_olrogi_DIDELPHIDAE_DIDELPHIMORPHIA","Philander","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia",NA,0,0,0.183507368,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"South_America",0,0,0,"1","0","0","0","1","0","0","0","0","0",0,0,0,1
"607","Akodon_siberiae","Akodon_siberiae_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_siberiae",2,0,0.328017211,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,1800,3100,"from 2 sources",0.997324633,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","0","0","0",0,0,0,1
"608","Akodon_varius","Akodon_varius_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_varius",2,0,0.354880698,0,"mammals","habitat_mol","Forest,Shrubland",0,0,1,0,0,0,0,1,0,0,0,365,3200,"from 2 sources",0.614565986,"Forest","","North_America",1,1,0,"1","0","0","0","1","0","0","1","1","0",0,0,0,1
"609","Auliscomys_boliviensis","Auliscomys_boliviensis_CRICETIDAE_RODENTIA","Auliscomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Auliscomys_boliviensis",2,0,0.203181766,0,"mammals","habitat_mol","Shrubland,Grassland,Wetland,Barren/Rocky",1,0,0,1,0,0,0,1,0,0,1,3450,5000,"from 2 sources",1,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"610","Leopardus_geoffroyi","Leopardus_geoffroyi_FELIDAE_CARNIVORA","Leopardus","FELIDAE","CARNIVORA","Feliformes","Laurasiatheria","Leopardus_geoffroyi",0,0,0.411702947,0,"mammals","habitat_mol","Forest,Savanna,Shrubland,Grassland",0,0,1,1,0,0,1,1,0,0,0,0,3300,NA,0.142364089,"Forest","Grass_Savanna","North_America",1,0,1,"1","0","0","1","1","0","0","1","1","1",0,0,0,1
"611","Thylamys_venustus","Thylamys_venustus_DIDELPHIDAE_DIDELPHIMORPHIA","Thylamys","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia","Thylamys_venustus",8,0,0.13616189,0,"mammals","habitat_mol","Cropland,Forest,Savanna,Shrubland",0,1,1,0,0,0,1,1,0,0,0,100,2000,"from 2 sources",0.747648654,"Forest","Grass_Savanna","South_America",0,0,0,"0","0","0","0","1","0","0","1","1","0",0,0,0,1
"612","Phyllotis_wolffsohni","Phyllotis_wolffsohni_CRICETIDAE_RODENTIA","Phyllotis","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Phyllotis_wolffsohni",5,0,0.157646695,0,"mammals","habitat_mol","Mosaic Cropland,Urban,Shrubland",0,0,0,0,1,0,0,1,1,0,0,1300,3875,NA,1,"","","North_America",1,1,0,"0","0","0","0","0","0","0","1","0","0",0,0,1,0
"613","Thylamys_pallidior","Thylamys_pallidior_DIDELPHIDAE_DIDELPHIMORPHIA","Thylamys","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia","Thylamys_pallidior",8,0,0.164259685,0,"mammals","habitat_mol","Shrubland,Barren/Rocky",1,0,0,0,0,0,0,1,0,0,0,0,4500,NA,0.507686112,"","","South_America",0,0,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"614","Graomys_centralis","Graomys_centralis_CRICETIDAE_RODENTIA","Graomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Graomys_centralis",4,0,0.232567307,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","North_America",1,1,0,"0","0","0","0","0","0","0","1","1","0",0,0,1,0
"615","Myotis_dinellii","Myotis_dinellii_VESPERTILIONIDAE_CHIROPTERA","Myotis","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,0,0,0.2395907,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,0,3500,NA,0.340828616,"Forest","","North_America",1,0,1,"1","0","0","1","1","0","0","0","0","1",0,0,0,1
"616","Myocastor_coypus","Myocastor_coypus_MYOCASTORIDAE_RODENTIA","Myocastor","MYOCASTORIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Myocastor_coypus",27,0,0.083375376,0,"mammals","habitat_mol","Water Body,Wetland",0,0,0,0,0,0,0,0,0,1,1,0,1190,"from 2 sources",NA,NA,NA,"South_America",0,0,0,"0","0","0","0","0","0","0","1","1","1",0,0,1,0
"617","Pygoderma_bilabiatum","Pygoderma_bilabiatum_PHYLLOSTOMIDAE_CHIROPTERA","Pygoderma","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Pygoderma_bilabiatum",5,0,0.263874405,0,"mammals","habitat_mol","Urban,Forest",0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,0.036554379,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","1","1","1",0,0,0,1
"618","Ctenomys_steinbachi","Ctenomys_steinbachi_CTENOMYIDAE_RODENTIA","Ctenomys","CTENOMYIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Ctenomys_steinbachi",3,0,0.36139973,0,"mammals","habitat_mol","Cropland,Mosaic Cropland,Other,Savanna",0,1,0,0,1,1,1,0,0,0,0,400,500,"IUCN",0.014186417,"","Grass_Savanna","South_America",0,0,0,"0","0","0","0","0","0","0","1","1","0",0,0,1,0
"619","Marmosops_ocellatus","Marmosops_ocellatus_DIDELPHIDAE_DIDELPHIMORPHIA","Marmosops","DIDELPHIDAE","DIDELPHIMORPHIA","Didelphimorphia","Marsupialia",NA,0,0,0.121516184,0,"mammals","habitat_mol","Forest",0,0,1,0,0,0,0,0,0,0,0,NA,700,"Mammals of South America, Volume 1",0.026178441,"Forest","","South_America",0,0,0,"1","0","0","0","1","0","0","0","0","0",0,0,0,1
"620","Akodon_aliquantulus","Akodon_aliquantulus_CRICETIDAE_RODENTIA","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_aliquantulus",0,0,0.190823834,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,1700,NA,1,"","Grass_Savanna","North_America",1,1,0,"0","0","0","0","0","0","0","1","0","0",0,0,1,0
